prompt_idx,group,genre,prompt,eps_s,eps_g,eps_g_median,eps_g_std,f_phi_norm,J_phi_mean,vjp_00,vjp_01,vjp_02,vjp_03,vjp_04,vjp_05,vjp_06,vjp_07,vjp_08,vjp_09
0,photo,landscape,"a lone pine tree on a flat snowfield, pale sky, photorealistic DSLR photograph, 85mm",77.30209350585938,2.353906881809235,2.37653124332428,0.8483054439576893,159.83323669433594,2.007164341211319,1.3369077444076538,1.971787929534912,3.212210178375244,3.620272397994995,2.7812745571136475,3.2786083221435547,2.853336811065674,1.7907472848892212,1.4942392110824585,1.1996843814849854
1,photo,landscape,"a stone wall crossing a flat green field to the horizon, overcast sky, photorealistic DSLR photograph, 35mm",91.38487243652344,1.1456446886062621,1.113665759563446,0.25716010667944866,161.1702423095703,0.9185652375221253,1.1349657773971558,1.1128358840942383,0.9593786001205444,1.5931938886642456,1.1144956350326538,0.7079267501831055,1.1022765636444092,1.556764006614685,1.2529146671295166,0.9216951131820679
2,photo,landscape,"a single wooden rowing boat on a still grey lake, photorealistic DSLR photograph, 50mm",128.30482482910156,27.924537897109985,20.76462459564209,19.816689826120054,141.6947784423828,8.903701686859131,13.797561645507812,22.73431396484375,75.6296157836914,18.19122886657715,18.79493522644043,5.872767925262451,51.69329833984375,14.503216743469238,26.47458839416504,31.553852081298828
3,photo,landscape,"a simple wooden jetty on a calm loch at dawn, pale mist, photorealistic DSLR photograph, 50mm",114.94412231445312,3.6806442022323607,3.5819735527038574,1.8662878944359096,151.52069091796875,3.644690155982971,1.3812999725341797,3.2941837310791016,2.4650001525878906,2.2481648921966553,4.097599029541016,2.127927303314209,4.3782758712768555,4.578395366668701,8.365832328796387,3.8697633743286133
4,photo,landscape,"a lone dead tree on a flat barren plain, pale overcast sky, photorealistic DSLR photograph, 50mm",87.84566497802734,1.425765836238861,1.3548734784126282,0.2422704927115148,148.25115966796875,1.0383340001106263,1.5361415147781372,1.2868938446044922,1.3568052053451538,1.002138614654541,1.3166009187698364,1.8892762660980225,1.4452481269836426,1.3529417514801025,1.2964249849319458,1.7751871347427368
5,photo,architecture,"a red lighthouse on a flat rocky headland, pale grey sky, photorealistic DSLR photograph, 70mm",114.55372619628906,1.548582798242569,1.4830418825149536,0.36716603960290306,163.6995086669922,0.8710175812244415,1.542285680770874,1.4237980842590332,1.8269455432891846,1.6403862237930298,1.2782648801803589,2.2923829555511475,1.88625967502594,1.311864972114563,0.8975854516029358,1.386054515838623
6,photo,architecture,"a lone stone chapel on a flat green hillside, pale sky, photorealistic DSLR photograph, 35mm",83.57990264892578,15.9309476852417,13.816185474395752,12.072610119300556,148.00547790527344,0.5530773609876632,10.47453784942627,6.514008522033691,18.1650447845459,0.7109705209732056,40.77031707763672,1.7685426473617554,26.855422973632812,17.157833099365234,9.748218536376953,27.144580841064453
7,photo,architecture,"a single red telephone box on an empty village green, photorealistic DSLR photograph, 50mm",132.7865753173828,10.768746256828308,9.046318054199219,6.076857979940731,189.9727020263672,9.722794580459595,9.715664863586426,8.376971244812012,2.9077374935150146,6.833785533905029,4.575130939483643,7.566242218017578,13.692164421081543,11.262313842773438,20.233549118041992,22.523902893066406
8,photo,architecture,"a white wooden church at the end of a straight empty road, photorealistic DSLR photograph, 35mm",108.67182922363281,4.06085696220398,2.282597064971924,3.0388022353116977,157.33944702148438,3.5359185695648194,2.14978289604187,4.585067272186279,8.994132041931152,2.2407453060150146,1.056258201599121,9.530317306518555,1.430966854095459,6.58530855178833,1.7115423679351807,2.324448823928833
9,photo,architecture,"a derelict stone tower on a coastal headland, grey sea behind, photorealistic DSLR photograph, 50mm",78.31929779052734,2.6443758964538575,2.0352333784103394,1.4306058898344798,165.55670166015625,1.0733871757984161,1.2672488689422607,5.365020751953125,4.745036602020264,3.84016752243042,1.5228809118270874,1.335696816444397,1.5463321208953857,2.750908613204956,2.4800374507904053,1.5904293060302734
10,photo,human,"a hiker in a dark jacket on an open moorland ridge, flat cloudy sky, photorealistic DSLR photograph, 85mm",85.83956146240234,1.3189944207668305,1.3990447521209717,0.3575931944830577,155.22027587890625,1.1243003487586976,0.8357061147689819,1.3503447771072388,1.6306722164154053,0.887315571308136,1.4935697317123413,1.1818989515304565,0.8292520046234131,1.6022871732711792,1.4477447271347046,1.9311529397964478
11,photo,human,"a fisherman in waders standing still in a calm river, photorealistic DSLR photograph, 135mm",129.36788940429688,9.360634279251098,8.765111923217773,3.846412135961629,174.13377380371094,3.0577725768089294,8.04670238494873,13.879382133483887,11.743941307067871,7.076657295227051,9.483521461486816,4.597774505615234,17.473941802978516,5.074848651885986,9.681428909301758,6.548144340515137
12,photo,human,"an elderly woman in a grey coat on an empty coastal path, photorealistic DSLR photograph, 85mm",87.77486419677734,8.957501530647278,6.5582826137542725,5.079873762982702,140.0531463623047,8.671303224563598,7.207707405090332,13.599044799804688,6.84185791015625,5.248892307281494,5.950471878051758,20.214160919189453,6.274707317352295,3.5545547008514404,14.77121639251709,5.9124016761779785
